order_id,product,price,quantity,status,customer_city
1000,Phone,4945.47,2.0,Pending,Lahore
1001,Phone,3862.12,3.0,Delivered,Islamabad
1002,Charger,2932.62,4.0,Shipped,Karachi
1004,Keyboard,2808.32,1.0,Shipped,Karachi
1005,Laptop,2203.91,1.0,Shipped,Karachi
1007,Monitor,4232.54,1.0,Shipped,Islamabad
1008,Monitor,2130.32,2.0,Pending,Multan
1009,Headphones,4290.24,2.0,Pending,Karachi
1010,Charger,1442.12,2.0,Shipped,Multan
1013,Mouse,1064.74,5.0,Shipped,Multan
1014,Charger,2690.77,4.0,Cancelled,Islamabad
1015,Phone,1765.4,4.0,Delivered,Multan
1016,Webcam,1284.74,3.0,Delivered,Karachi
1017,Monitor,4250.2,3.0,Cancelled,Lahore
1018,Laptop,2097.58,2.0,Shipped,Islamabad
1019,Charger,2888.69,5.0,Shipped,Karachi
1020,Charger,1500.0,2.0,Pending,Karachi
1021,Monitor,2504.5,4.0,Delivered,Lahore
1022,Speaker,943.14,3.0,Cancelled,Karachi
1023,Charger,1450.65,4.0,Delivered,Multan
1024,Keyboard,1768.38,2.0,Delivered,Karachi
1025,Charger,4134.91,4.0,Pending,Multan
1026,Laptop,2131.51,3.0,Delivered,Multan
1027,Monitor,2421.89,4.0,Cancelled,Lahore
1028,Laptop,4270.96,2.0,Shipped,Karachi
1029,Laptop,907.7,5.0,Delivered,Islamabad
